Sequence ID,Predicted Species,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,Chilodonella uncinata,28.63%,Chromista,Ciliophora,Phyllopharyngea,Chlamydodontida,Chilodonellidae,Chilodonella,Chilodonella uncinata
2,Parvochelus russus,92.84%,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Parvochelus,Parvochelus russus
3,Encephalitozoon intestinalis,5.57%,Fungi,Microsporidia,Microsporidea,Encephalitozoana,Encephalitozoonidae,Encephalitozoon,Encephalitozoon intestinalis
4,Caecitellus parvulus,21.54%,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Endeostigmidae,Caecitellus,Caecitellus parvulus
5,Dasytricha ruminantium,23.83%,Protozoa,Ciliophora,Oligohymenophorea,Entodiniomorphida,Ophryoscolecidae,Dasytricha,Dasytricha ruminantium
6,Dasytricha ruminantium,18.06%,Protozoa,Ciliophora,Oligohymenophorea,Entodiniomorphida,Ophryoscolecidae,Dasytricha,Dasytricha ruminantium
7,Dasytricha ruminantium,9.39%,Protista,Ciliophora,Oligohymenophorea,Entodiniomorphida,Ophryoscolecidae,Dasytricha,Dasytricha ruminantium
8,Diutina catenulata,28.47%,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Diutina,Diutina catenulata
9,Dasytricha ruminantium,11.21%,Protozoa,Ciliophora,Litostomatea,Plagiopylida,Dasytrichidae,Dasytricha,Dasytricha ruminantium
10,Strigamia maritima,1.08%,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Linotaeniidae,Strigamia,Strigamia maritima